timestamp,station,temperature_c,pressure_hpa,humidity_pct
2026-09-07 00:00:00,AWS-E01,31.33,1009.83,47.12
2026-09-07 00:05:00,AWS-E01,30.35,1010.63,47.58
2026-09-07 00:10:00,AWS-E01,30.98,1010.66,50.68
2026-09-07 00:15:00,AWS-E01,31.25,1009.78,49.9
2026-09-07 00:20:00,AWS-E01,30.92,1009.93,47.59
2026-09-07 00:25:00,AWS-E01,31.91,1011.45,49.18
2026-09-07 00:30:00,AWS-E01,31.14,1011.19,48.19
2026-09-07 00:35:00,AWS-E01,31.41,1010.54,49.72
2026-09-07 00:40:00,AWS-E01,31.67,1010.72,47.37
2026-09-07 00:45:00,AWS-E01,31.33,1010.42,48.6
2026-09-07 00:50:00,AWS-E01,30.94,1010.91,50.84
2026-09-07 00:55:00,AWS-E01,31.48,1010.51,47.59
2026-09-07 01:00:00,AWS-E01,32.04,1010.04,46.6
2026-09-07 01:05:00,AWS-E01,31.61,1010.38,47.44
2026-09-07 01:10:00,AWS-E01,31.47,1010.97,45.66
2026-09-07 01:15:00,AWS-E01,32.13,1010.56,49.64
2026-09-07 01:20:00,AWS-E01,31.73,1011.04,46.2
2026-09-07 01:25:00,AWS-E01,31.7,1010.68,45.39
2026-09-07 01:30:00,AWS-E01,31.96,1010.85,44.43
2026-09-07 01:35:00,AWS-E01,32.21,1011.55,47.22
2026-09-07 01:40:00,AWS-E01,32.8,1011.35,46.77
2026-09-07 01:45:00,AWS-E01,32.28,1011.29,44.64
2026-09-07 01:50:00,AWS-E01,32.42,1011.68,46.17
2026-09-07 01:55:00,AWS-E01,31.86,1011.56,42.97
2026-09-07 02:00:00,AWS-E01,31.69,1011.98,45.45
2026-09-07 02:05:00,AWS-E01,32.09,1011.25,45.8
2026-09-07 02:10:00,AWS-E01,32.12,1011.29,47.64
2026-09-07 02:15:00,AWS-E01,31.71,1010.97,43.89
2026-09-07 02:20:00,AWS-E01,32.03,1011.34,43.1
2026-09-07 02:25:00,AWS-E01,32.24,1011.92,43.66
2026-09-07 02:30:00,AWS-E01,32.23,1012.07,43.0
